Email,Email_Age_Days,Email_Risk_Rating
user1704@icloud.com,556,Low
user2814@icloud.com,41,Medium
user3733@outlook.com,2774,Low
user4373@gmail.com,2945,Low
user5997@outlook.com,2523,Low
user6193@gmail.com,127,Medium
user7214@outlook.com,1593,Low
user8600@gmail.com,83,Medium
user9231@icloud.com,715,Low
user10353@yahoo.com,695,Low
user11597@yahoo.com,2940,Low
user12789@gmail.com,421,Low
user13200@gmail.com,2454,Low
user14392@icloud.com,2063,Low
user15158@hotmail.com,844,Low
user16833@outlook.com,2943,Low
user17235@outlook.com,1286,Low
user18860@hotmail.com,28,High
user19822@icloud.com,2459,Low
user20466@yahoo.com,363,Low
user21906@gmail.com,852,Low
user22459@hotmail.com,1343,Low
user23360@gmail.com,978,Low
user24416@icloud.com,2277,Low
user25576@icloud.com,1519,Low
user26725@gmail.com,2146,Low
user27575@gmail.com,2321,Low
user28960@outlook.com,1212,Low
user29524@icloud.com,463,Low
user30973@icloud.com,1797,Medium
user31230@hotmail.com,120,Medium
user32384@icloud.com,1752,Low
user33344@yahoo.com,40,Medium
user34832@yahoo.com,1824,Low
user35208@icloud.com,2207,Medium
user36385@icloud.com,554,Low
user37669@gmail.com,1331,Low
user38666@hotmail.com,2138,Low
user39321@icloud.com,984,Low
user40666@outlook.com,14,High
user41187@yahoo.com,1444,Low
user42857@gmail.com,2697,Low
user43370@hotmail.com,60,Medium
user44605@icloud.com,2411,Medium
user45279@icloud.com,194,Low
user46521@icloud.com,1550,Low
user47308@outlook.com,411,Low
user48961@gmail.com,1120,Low
user49448@hotmail.com,1899,Medium
user50429@yahoo.com,2065,Low
user51229@hotmail.com,10,High
user52972@hotmail.com,1545,Low
user53270@outlook.com,2017,Low
user54246@yahoo.com,2588,Low
user55685@outlook.com,98,Medium
user56324@yahoo.com,1643,Low
user57434@icloud.com,76,Medium
user58579@gmail.com,671,Low
user59490@outlook.com,2594,Low
user60218@gmail.com,2217,Low
user61133@outlook.com,1345,Low
user62193@yahoo.com,2062,Low
user63653@outlook.com,732,Low
user64896@outlook.com,115,Medium
user65829@icloud.com,2208,Low
user66912@gmail.com,606,Low
user67951@gmail.com,573,Low
user68988@gmail.com,1932,Low
user69965@hotmail.com,1957,Low
user70485@icloud.com,1081,Low
user71873@hotmail.com,1082,Low
user72882@outlook.com,762,Low
user73689@icloud.com,1482,Low
user74863@outlook.com,80,Medium
user75277@hotmail.com,51,Medium
user76423@yahoo.com,2769,Low
user77729@hotmail.com,24,High
user78831@gmail.com,1606,Low
user79841@hotmail.com,1232,Low
user80195@icloud.com,2356,Low
user81234@hotmail.com,2731,Low
user82955@yahoo.com,2121,Low
user83971@gmail.com,2313,Low
user84614@outlook.com,1823,Medium
user85877@icloud.com,768,Low
user86912@hotmail.com,2817,Low
user87780@gmail.com,967,Low
user88453@yahoo.com,18,High
user89137@outlook.com,2074,Low
user90439@outlook.com,2885,Low
user91716@yahoo.com,1963,Low
user92176@icloud.com,434,Low
user93133@hotmail.com,2523,Low
user94366@icloud.com,199,Low
user95783@outlook.com,1509,Low
user96667@hotmail.com,1678,Low
user97757@gmail.com,82,Medium
user98430@yahoo.com,863,Low
user99694@yahoo.com,2624,Low
user100594@yahoo.com,1437,Low
user101233@outlook.com,1833,Low
user102578@icloud.com,132,Medium
user103108@gmail.com,2398,Low
user104386@hotmail.com,2452,Low
user105720@hotmail.com,810,Low
user106415@gmail.com,2590,Low
user107348@gmail.com,2988,Low
user108432@icloud.com,2497,Low
user109889@outlook.com,1419,Low
user110143@outlook.com,1389,Low
user111753@yahoo.com,1124,Low
user112392@gmail.com,1515,Low
user113391@icloud.com,86,Medium
user114279@hotmail.com,991,Low
user115409@hotmail.com,1550,Low
user116720@outlook.com,192,Low
user117163@hotmail.com,659,Low
user118567@hotmail.com,107,Medium
user119132@outlook.com,121,Medium
user120230@yahoo.com,2366,Low
user121132@icloud.com,662,Low
user122339@hotmail.com,1384,Low
user123741@icloud.com,917,Low
user124978@yahoo.com,1431,Low
user125949@yahoo.com,186,Low
user126864@icloud.com,680,Low
user127879@outlook.com,2123,Low
user128801@outlook.com,2881,Low
user129160@hotmail.com,2828,Low
user130753@hotmail.com,2730,Low
user131358@outlook.com,135,Medium
user132157@gmail.com,2149,Low
user133800@outlook.com,20,High
user134439@icloud.com,2414,Low
user135130@outlook.com,1536,Low
user136424@outlook.com,1795,Low
user137112@outlook.com,1777,Low
user138531@outlook.com,71,Medium
user139550@outlook.com,1549,Low
user140602@hotmail.com,2792,Low
user141548@outlook.com,1058,Low
user142696@icloud.com,2162,Low
user143145@hotmail.com,157,Low
user144254@outlook.com,2249,Low
user145548@icloud.com,599,Low
